N_min: 100  N_max: 1000   N_step: 50  N_toys: 1000
Execution time = 240.00685858726501s
N:   100   |   T0: 30.881050, Power: 0.000000
N:   150   |   T0: 31.344910, Power: 0.005000
N:   200   |   T0: 32.154813, Power: 0.027000
N:   250   |   T0: 32.713807, Power: 0.062000
N:   300   |   T0: 33.081787, Power: 0.130000
N:   350   |   T0: 33.060499, Power: 0.225000
N:   400   |   T0: 33.387568, Power: 0.325000
N:   450   |   T0: 33.511641, Power: 0.455000
N:   500   |   T0: 33.318698, Power: 0.546000
N:   550   |   T0: 33.683007, Power: 0.651000
N:   600   |   T0: 33.410217, Power: 0.745000
N:   650   |   T0: 33.756908, Power: 0.806000
N:   700   |   T0: 33.632928, Power: 0.865000
N:   750   |   T0: 33.669727, Power: 0.895000
N:   800   |   T0: 33.386208, Power: 0.936000
N:   850   |   T0: 33.494480, Power: 0.959000
N:   900   |   T0: 33.550383, Power: 0.970000
N:   950   |   T0: 33.371952, Power: 0.983000
