Model: g
N_min: 2000  N_max: 3050   N_step: 50  N_toys: 1000
Execution time = 930.077s


    N||C. H1   |C. H0   |Valid   |T0       |Power
-----++--------+--------+--------+---------+-----------
 2000||0.669   |0.670   |0.992   |26.672   |0.650202
 2050||0.673   |0.676   |0.992   |27.078   |0.664315
 2100||0.672   |0.682   |0.993   |26.745   |0.709970
 2150||0.680   |0.678   |0.993   |26.495   |0.746224
 2200||0.678   |0.678   |0.994   |26.384   |0.768612
 2250||0.679   |0.680   |0.995   |26.359   |0.798995
 2300||0.678   |0.679   |0.995   |26.487   |0.807035
 2350||0.682   |0.680   |0.995   |26.402   |0.838191
 2400||0.682   |0.678   |0.992   |26.990   |0.833669
 2450||0.675   |0.679   |0.989   |26.816   |0.862487
 2500||0.676   |0.680   |0.991   |26.527   |0.887992
 2550||0.675   |0.678   |0.988   |26.651   |0.899798
 2600||0.679   |0.679   |0.997   |26.552   |0.912738
 2650||0.679   |0.679   |0.992   |26.689   |0.923387
 2700||0.678   |0.679   |0.991   |26.414   |0.935419
 2750||0.673   |0.681   |0.990   |26.310   |0.941414
 2800||0.677   |0.683   |0.993   |26.439   |0.945619
 2850||0.677   |0.686   |0.996   |26.038   |0.950803
 2900||0.676   |0.683   |0.995   |26.506   |0.952764
 2950||0.676   |0.683   |0.994   |26.396   |0.960765
 3000||0.671   |0.682   |0.991   |26.314   |0.963673
